HomeTeam,GuestTeam,GoalsHomeTeam,GoalsGuestTeam
Sturm Graz,Austria Vienna,1,2
Admira,Neustadt,0,3
Grodig,Wacker Innsbruck,3,3
Rapid Vienna,Ried,2,0
Salzburg,Wolfsberger AC,2,2
Ried,Grodig,4,2
Admira,Austria Vienna,1,0
Rapid Vienna,Wolfsberger AC,2,4
Sturm Graz,Wacker Innsbruck,1,0
Salzburg,Neustadt,8,1
Wolfsberger AC,Ried,1,1
Grodig,Sturm Graz,0,1
Wacker Innsbruck,Admira,3,3
Austria Vienna,Salzburg,1,2
Neustadt,Rapid Vienna,0,0
Salzburg,Wacker Innsbruck,6,0
Wolfsberger AC,Neustadt,1,1
Admira,Grodig,0,4
Ried,Austria Vienna,1,1
Rapid Vienna,Sturm Graz,2,2
Wacker Innsbruck,Wolfsberger AC,1,2
Neustadt,Ried,3,3
Sturm Graz,Admira,0,2
Austria Vienna,Rapid Vienna,0,1
Grodig,Salzburg,0,3
Rapid Vienna,Admira,4,2
Wolfsberger AC,Grodig,1,1
Ried,Wacker Innsbruck,4,0
Salzburg,Sturm Graz,1,0
Neustadt,Austria Vienna,0,3
Wacker Innsbruck,Neustadt,4,0
Austria Vienna,Wolfsberger AC,1,0
Grodig,Rapid Vienna,2,2
Admira,Salzburg,3,1
Neustadt,Grodig,0,2
Ried,Admira,2,2
Wacker Innsbruck,Austria Vienna,0,5
Rapid Vienna,Salzburg,2,1
Sturm Graz,Ried,2,0
Grodig,Austria Vienna,1,0
Admira,Wolfsberger AC,3,0
Sturm Graz,Neustadt,2,3
Salzburg,Ried,4,0
Rapid Vienna,Wacker Innsbruck,3,0
Austria Vienna,Sturm Graz,3,2
Wolfsberger AC,Salzburg,1,2
Neustadt,Admira,1,0
Ried,Rapid Vienna,2,0
Wacker Innsbruck,Grodig,5,3
Austria Vienna,Admira,2,2
Grodig,Ried,3,0
Wacker Innsbruck,Sturm Graz,0,1
Wolfsberger AC,Rapid Vienna,2,1
Wolfsberger AC,Sturm Graz,2,1
Admira,Wacker Innsbruck,3,0
Ried,Wolfsberger AC,1,3
Sturm Graz,Grodig,2,2
Salzburg,Austria Vienna,4,0
Rapid Vienna,Neustadt,0,0
Grodig,Admira,2,1
Austria Vienna,Ried,1,1
Neustadt,Wolfsberger AC,1,1
Sturm Graz,Rapid Vienna,2,0
Wacker Innsbruck,Salzburg,0,1
Neustadt,Salzburg,1,5
Salzburg,Grodig,6,0
Wolfsberger AC,Wacker Innsbruck,3,2
Admira,Sturm Graz,1,1
Ried,Neustadt,2,1
Rapid Vienna,Austria Vienna,3,1
Sturm Graz,Salzburg,1,4
Austria Vienna,Neustadt,1,1
Grodig,Wolfsberger AC,3,0
Wacker Innsbruck,Ried,1,1
Admira,Rapid Vienna,2,1
Ried,Sturm Graz,2,2
Wolfsberger AC,Austria Vienna,0,0
Neustadt,Wacker Innsbruck,1,0
Rapid Vienna,Grodig,0,0
Salzburg,Admira,6,1
Austria Vienna,Wacker Innsbruck,2,1
Admira,Ried,2,2
Grodig,Neustadt,1,2
Sturm Graz,Wolfsberger AC,1,4
Salzburg,Rapid Vienna,6,3
Wolfsberger AC,Admira,2,3
Austria Vienna,Grodig,2,0
Neustadt,Sturm Graz,2,1
Ried,Salzburg,1,3
Wacker Innsbruck,Rapid Vienna,1,1
Grodig,Wacker Innsbruck,1,1
Admira,Neustadt,3,0
Rapid Vienna,Ried,1,0
Sturm Graz,Austria Vienna,1,1
Salzburg,Wolfsberger AC,5,0
Admira,Austria Vienna,0,1
Rapid Vienna,Wolfsberger AC,3,0
Ried,Grodig,1,4
Sturm Graz,Wacker Innsbruck,3,1
Salzburg,Neustadt,5,0
Wacker Innsbruck,Admira,0,0
Wolfsberger AC,Ried,0,2
Austria Vienna,Salzburg,3,0
Grodig,Sturm Graz,0,6
Neustadt,Rapid Vienna,0,3
Rapid Vienna,Sturm Graz,2,0
Wolfsberger AC,Neustadt,4,0
Admira,Grodig,4,0
Salzburg,Wacker Innsbruck,0,0
Ried,Austria Vienna,2,2
Grodig,Salzburg,1,3
Neustadt,Ried,1,1
Sturm Graz,Admira,1,1
Wacker Innsbruck,Wolfsberger AC,0,1
Austria Vienna,Rapid Vienna,0,1
Salzburg,Sturm Graz,1,2
Wolfsberger AC,Grodig,1,2
Rapid Vienna,Admira,0,0
Ried,Wacker Innsbruck,1,2
Neustadt,Austria Vienna,0,2
Austria Vienna,Wolfsberger AC,3,1
Admira,Salzburg,2,3
Sturm Graz,Ried,2,1
Wacker Innsbruck,Neustadt,3,1
Grodig,Rapid Vienna,2,2
Ried,Admira,3,0
Neustadt,Grodig,1,3
Rapid Vienna,Salzburg,2,1
Wacker Innsbruck,Austria Vienna,1,1
Wolfsberger AC,Sturm Graz,0,1
Admira,Wolfsberger AC,1,0
Grodig,Austria Vienna,2,1
Rapid Vienna,Wacker Innsbruck,2,0
Salzburg,Ried,4,0
Sturm Graz,Neustadt,1,2
Wolfsberger AC,Salzburg,2,0
Austria Vienna,Sturm Graz,1,2
Ried,Rapid Vienna,2,5
Wacker Innsbruck,Grodig,3,3
Neustadt,Admira,5,2
Salzburg,Rapid Vienna,6,1
Admira,Wolfsberger AC,1,4
Altach,Sturm Graz,1,0
Ried,Neustadt,3,1
Austria Vienna,Grodig,1,1
Wolfsberger AC,Austria Vienna,4,0
Neustadt,Salzburg,0,5
Rapid Vienna,Ried,1,0
Grodig,Sturm Graz,2,1
Admira,Rapid Vienna,1,1
Austria Vienna,Altach,0,0
Ried,Salzburg,0,2
Sturm Graz,Neustadt,4,2
Grodig,Wolfsberger AC,0,2
Neustadt,Austria Vienna,2,2
Altach,Wolfsberger AC,1,2
Rapid Vienna,Sturm Graz,1,1
Ried,Admira,1,1
Salzburg,Grodig,8,0
Altach,Admira,0,2
Rapid Vienna,Altach,0,1
Wolfsberger AC,Ried,4,1
Admira,Salzburg,0,3
Grodig,Neustadt,3,0
Sturm Graz,Austria Vienna,1,1
Sturm Graz,Wolfsberger AC,1,2
Neustadt,Admira,5,4
Ried,Grodig,2,2
Salzburg,Altach,5,0
Austria Vienna,Rapid Vienna,2,2
Salzburg,Sturm Graz,2,3
Wolfsberger AC,Neustadt,0,1
Admira,Austria Vienna,2,1
Altach,Ried,2,2
Rapid Vienna,Grodig,2,0
Austria Vienna,Ried,3,1
Sturm Graz,Admira,0,2
Wolfsberger AC,Salzburg,1,0
Grodig,Altach,3,3
Neustadt,Rapid Vienna,1,5
Rapid Vienna,Wolfsberger AC,3,0
Admira,Grodig,0,0
Altach,Neustadt,2,0
Ried,Sturm Graz,0,1
Salzburg,Austria Vienna,2,3
Sturm Graz,Altach,2,2
Wolfsberger AC,Admira,2,1
Grodig,Austria Vienna,0,0
Neustadt,Ried,0,1
Rapid Vienna,Salzburg,1,2
Austria Vienna,Wolfsberger AC,0,2
Admira,Altach,0,2
Sturm Graz,Grodig,1,0
Ried,Rapid Vienna,1,2
Salzburg,Neustadt,4,1
Salzburg,Ried,4,2
Wolfsberger AC,Grodig,1,2
Altach,Austria Vienna,1,1
Rapid Vienna,Admira,0,0
Neustadt,Sturm Graz,0,0
Sturm Graz,Rapid Vienna,1,3
Wolfsberger AC,Altach,0,0
Admira,Ried,0,0
Austria Vienna,Neustadt,2,0
